# R11ceph.dat
#
# This is a processed version of the R11 cepheid data
# (Riess et al. 2011 [R11], ApJ, 730, 119, Table 2)
#
# Columns:
#     id: the ID of the cepheid
#    gal: the NGC number of the host galaxy
#      m: mags m are computed using m = F160W - 0.41*(V_I)
#   merr: mag errs are just those in the F160W mags
#         (errors in V-I were not given in R11)
#      P: period P is in days (errors in the Period were not given)
# logO_H: this is actually log[O/H], not 12 + log[O/H] as in R11
#   bias: this is the crowding bias *already applied* by R11
#
# Notes:
# - cepheid with id 102255 was excluded since its mag error is 99.0
#
#  id  gal     m       merr       P       logO_H    bias
60845 4536 23.622500 0.290000 21.260000 -3.140000 0.140000
36586 4536 24.770500 0.610000 21.290000 -3.260000 0.480000
45000 4536 24.021000 0.350000 21.580000 -3.150000 0.350000
58232 4536 23.975100 0.250000 21.940000 -3.200000 0.240000
49022 4536 24.580500 0.620000 22.660000 -3.210000 0.050000
60060 4536 24.344900 0.470000 22.680000 -3.230000 0.360000
25262 4536 24.517000 0.430000 22.910000 -3.420000 0.190000
57215 4536 24.106900 0.340000 23.210000 -3.320000 0.120000
64002 4536 23.278000 0.310000 24.310000 -3.210000 0.250000
67162 4536 23.626400 0.180000 24.430000 -3.000000 0.070000
52964 4536 22.700300 0.240000 28.050000 -3.270000 0.080000
49080 4536 23.492300 0.320000 28.740000 -3.240000 0.150000
56988 4536 23.547300 0.350000 29.060000 -3.230000 0.220000
39040 4536 23.020800 0.360000 29.980000 -3.190000 0.280000
49524 4536 23.864900 0.500000 30.200000 -3.180000 0.370000
28024 4536 23.676700 0.260000 30.220000 -3.420000 0.100000
24880 4536 24.219500 0.290000 30.230000 -3.430000 0.070000
46407 4536 23.140000 0.210000 31.320000 -3.110000 0.120000
41282 4536 22.812300 0.260000 32.940000 -3.310000 0.180000
64465 4536 22.531000 0.240000 35.160000 -3.250000 0.160000
56960 4536 23.113100 0.290000 35.880000 -3.240000 0.210000
55447 4536 23.532800 0.320000 37.270000 -3.230000 0.230000
70171 4536 23.100500 0.170000 37.590000 -3.310000 0.080000
59779 4536 23.922500 0.160000 39.620000 -2.950000 0.050000
74682 4536 22.673600 0.190000 42.660000 -3.080000 0.120000
35530 4536 23.665400 0.190000 42.930000 -3.460000 0.060000
58154 4536 22.650200 0.220000 49.380000 -3.210000 0.100000
62963 4536 23.023100 0.140000 50.040000 -2.980000 0.020000
42055 4536 22.891800 0.140000 50.670000 -3.480000 0.020000
66973 4536 22.482500 0.210000 52.410000 -3.210000 0.190000
71233 4536 22.110000 0.160000 54.450000 -3.220000 0.070000
47585 4536 22.282300 0.120000 54.530000 -3.430000 0.030000
65517 4536 22.466700 0.130000 60.160000 -2.990000 0.070000
73471 4536 20.913600 0.160000 64.740000 -3.100000 0.060000
72937 4536 22.714600 0.200000 66.230000 -3.110000 0.090000
44078 4536 22.241000 0.130000 111.900000 -3.100000 0.040000
48663 4536 21.742600 0.120000 119.100000 -3.120000 0.030000
58929 4536 21.343100 0.120000 158.100000 -3.220000 0.020000
51147 4536 21.357500 0.180000 187.200000 -3.200000 0.040000
93194 4639 23.908200 0.540000 16.350000 -2.870000 0.770000
38185 4639 25.742500 0.460000 16.540000 -3.100000 0.260000
39515 4639 24.782300 0.150000 18.120000 -3.430000 -0.020000
36306 4639 23.831500 0.460000 19.420000 -2.950000 0.310000
111466 4639 24.262300 0.310000 19.600000 -3.140000 0.180000
33734 4639 24.227400 0.300000 21.690000 -3.120000 0.150000
42674 4639 25.157400 0.730000 21.820000 -2.860000 0.430000
45895 4639 24.120500 0.430000 21.890000 -2.870000 0.420000
102787 4639 24.770000 0.320000 22.380000 -3.230000 0.110000
70860 4639 24.249500 0.590000 24.250000 -3.030000 0.440000
46993 4639 24.259000 0.480000 24.900000 -3.020000 0.420000
41122 4639 23.492800 0.350000 25.800000 -2.900000 0.690000
39959 4639 25.151000 0.670000 26.990000 -2.950000 0.280000
64316 4639 23.438700 0.600000 27.140000 -2.970000 0.410000
34553 4639 24.884800 0.490000 29.190000 -3.020000 0.200000
107795 4639 24.453300 0.280000 30.020000 -3.130000 0.190000
78588 4639 24.050200 0.360000 30.840000 -3.070000 0.130000
97020 4639 24.776700 0.140000 30.900000 -3.370000 0.010000
27312 4639 23.873800 0.200000 33.040000 -3.120000 0.060000
89925 4639 24.622500 0.260000 33.440000 -3.130000 0.140000
45055 4639 23.393300 0.430000 35.000000 -2.810000 0.460000
50944 4639 23.772300 0.610000 35.160000 -2.800000 0.430000
32876 4639 23.403600 0.320000 36.410000 -3.190000 -0.100000
81322 4639 24.629200 0.810000 38.150000 -2.750000 0.490000
87883 4639 23.159200 0.320000 40.900000 -2.990000 0.230000
114011 4639 23.572800 0.230000 41.180000 -3.140000 0.080000
65236 4639 24.720200 0.800000 41.360000 -2.800000 0.670000
26954 4639 23.494600 0.200000 43.750000 -3.120000 0.090000
76749 4639 23.795400 0.670000 45.670000 -2.900000 0.450000
115343 4639 23.968500 0.240000 48.340000 -3.160000 0.150000
86917 4639 23.557700 0.110000 48.910000 -3.310000 -0.000000
91692 4639 22.866200 0.390000 49.610000 -2.890000 0.330000
47978 4639 23.791500 0.390000 54.970000 -3.050000 0.190000
80923 4639 23.750800 0.400000 58.320000 -2.790000 0.420000
36973 4639 23.057800 0.250000 64.850000 -2.930000 0.160000
91486 4639 24.518700 0.710000 86.690000 -2.910000 0.500000
89399 4639 22.771500 0.350000 105.300000 -2.850000 0.360000
88045 3370 25.565300 0.580000 14.450000 -3.080000 1.300000
35527 3370 24.471300 0.470000 15.090000 -3.070000 0.870000
8849 3370 24.296400 0.540000 15.390000 -3.100000 0.740000
52153 3370 25.647100 0.270000 15.770000 -3.630000 0.180000
2204 3370 25.986900 0.640000 16.210000 -3.370000 0.160000
24497 3370 25.163300 0.550000 16.780000 -3.140000 0.660000
4668 3370 26.353800 0.570000 17.260000 -3.250000 0.340000
78990 3370 25.156900 0.570000 17.370000 -3.180000 0.710000
2638 3370 25.388400 0.510000 17.460000 -3.290000 0.550000
37156 3370 25.112000 0.490000 17.840000 -3.220000 0.320000
11908 3370 24.161800 0.610000 18.760000 -3.060000 1.040000
8367 3370 25.062800 0.650000 18.880000 -3.130000 0.780000
44450 3370 25.051500 0.470000 19.100000 -3.230000 0.610000
5394 3370 25.722300 0.600000 19.210000 -3.310000 0.330000
21444 3370 26.358700 0.920000 19.640000 -3.090000 0.700000
52086 3370 24.987400 0.360000 19.910000 -3.410000 0.050000
45559 3370 25.212500 0.270000 20.200000 -3.520000 0.100000
45280 3370 25.505600 0.430000 20.270000 -3.330000 0.180000
51454 3370 24.602800 0.310000 20.510000 -3.540000 0.110000
50670 3370 25.641500 0.650000 20.520000 -3.360000 0.490000
11992 3370 25.110500 0.390000 21.780000 -3.250000 0.260000
10540 3370 24.595600 0.350000 21.790000 -3.310000 0.170000
8807 3370 25.349500 0.450000 23.720000 -3.080000 0.580000
47494 3370 23.919800 0.450000 24.430000 -3.230000 0.160000
23575 3370 25.354600 0.230000 24.450000 -3.420000 0.130000
53228 3370 25.707400 0.240000 24.730000 -3.570000 0.070000
23818 3370 24.773600 0.530000 26.330000 -3.060000 0.660000
22838 3370 24.750000 0.310000 26.380000 -3.340000 0.070000
81239 3370 24.415300 0.590000 26.420000 -3.050000 0.930000
39583 3370 24.110500 0.610000 26.870000 -3.160000 0.750000
48470 3370 25.171300 0.270000 27.350000 -3.450000 0.170000
5744 3370 24.895400 0.490000 27.740000 -3.170000 0.540000
51334 3370 26.478200 0.620000 28.790000 -3.390000 0.260000
4531 3370 24.970000 0.290000 29.230000 -3.290000 0.180000
62219 3370 24.704900 0.580000 29.430000 -3.110000 0.390000
46992 3370 25.030500 0.680000 29.600000 -3.280000 0.170000
51430 3370 24.123600 0.230000 30.430000 -3.380000 0.110000
27556 3370 24.954100 0.230000 30.690000 -3.300000 0.130000
19943 3370 23.890700 0.810000 30.800000 -3.030000 0.850000
13380 3370 23.361500 0.790000 31.740000 -2.950000 1.290000
15081 3370 24.619800 0.260000 32.560000 -3.200000 0.120000
18200 3370 24.080800 0.420000 32.860000 -3.120000 0.170000
26416 3370 24.192100 0.500000 33.400000 -3.020000 0.340000
52428 3370 24.377700 0.200000 33.480000 -3.460000 0.010000
31439 3370 24.870000 0.340000 33.490000 -3.240000 0.240000
17886 3370 23.837500 0.520000 33.560000 -2.870000 1.480000
49211 3370 24.176400 0.370000 33.570000 -3.280000 0.200000
52279 3370 24.833600 0.180000 33.690000 -3.520000 0.030000
4345 3370 24.323900 0.380000 34.070000 -3.210000 0.280000
1320 3370 24.375400 0.320000 34.580000 -3.380000 0.150000
17969 3370 23.950300 0.600000 34.710000 -3.070000 0.530000
10677 3370 24.540800 0.570000 35.240000 -3.030000 0.490000
19618 3370 24.318000 0.570000 35.660000 -2.900000 1.160000
22097 3370 23.678200 0.520000 36.020000 -3.050000 0.500000
50582 3370 24.301300 0.260000 36.690000 -3.330000 0.080000
59919 3370 24.701000 0.470000 36.990000 -3.190000 0.330000
45614 3370 24.113800 0.340000 37.020000 -3.140000 0.250000
21445 3370 24.493100 0.230000 37.100000 -3.320000 0.090000
16214 3370 22.616200 0.390000 37.210000 -3.330000 0.060000
30965 3370 24.510500 0.270000 37.280000 -3.260000 0.200000
20306 3370 24.208400 0.680000 37.280000 -2.980000 1.020000
21506 3370 24.098400 0.340000 38.540000 -3.200000 0.090000
31251 3370 24.422800 0.260000 39.290000 -3.280000 0.130000
47492 3370 24.212600 0.320000 39.410000 -3.250000 0.090000
18990 3370 24.332000 0.120000 40.010000 -3.440000 0.000000
20732 3370 23.500300 0.370000 41.550000 -3.140000 0.190000
9431 3370 24.175600 0.360000 43.100000 -3.110000 0.400000
6440 3370 24.146200 0.450000 43.940000 -3.140000 0.290000
85483 3370 23.432600 0.590000 44.570000 -3.070000 0.390000
28504 3370 23.843800 0.310000 44.970000 -3.100000 0.230000
9014 3370 24.780800 0.340000 45.100000 -3.090000 0.220000
40168 3370 23.311800 0.150000 45.400000 -3.360000 0.060000
5439 3370 23.702300 0.250000 45.820000 -3.170000 0.430000
46830 3370 24.361300 0.350000 45.880000 -3.220000 0.180000
46035 3370 23.943100 0.190000 50.130000 -3.410000 0.030000
28129 3370 24.830800 0.720000 50.570000 -2.930000 0.590000
5361 3370 24.055100 0.330000 50.600000 -3.180000 0.330000
28534 3370 24.322300 0.410000 51.150000 -3.090000 0.230000
48903 3370 23.961300 0.250000 51.680000 -3.260000 0.110000
15864 3370 23.261800 0.510000 52.410000 -2.990000 0.240000
4367 3370 24.835700 0.390000 52.720000 -3.220000 0.170000
13303 3370 23.838500 0.240000 52.740000 -3.250000 0.050000
1528 3370 23.693800 0.170000 60.680000 -3.370000 0.080000
5501 3370 23.193400 0.290000 62.700000 -3.170000 0.260000
6706 3370 23.716400 0.280000 64.790000 -3.160000 0.120000
7014 3370 23.241300 0.280000 66.710000 -3.210000 0.090000
33669 3370 23.424200 0.350000 67.230000 -2.940000 0.370000
9063 3370 23.512000 0.240000 68.900000 -3.080000 0.140000
22612 3370 23.257700 0.190000 69.350000 -3.170000 0.140000
29662 3370 23.441000 0.220000 71.520000 -3.120000 0.190000
22718 3370 23.221000 0.320000 73.360000 -3.070000 0.140000
1454 3370 23.450600 0.150000 79.260000 -3.370000 0.070000
33346 3370 23.675100 0.600000 80.840000 -2.900000 0.170000
33195 3370 23.430000 0.130000 81.040000 -3.280000 0.050000
4471 3370 23.243700 0.180000 83.280000 -3.220000 0.040000
22098 3370 23.209500 0.270000 86.330000 -3.060000 0.100000
3205 3370 23.201800 0.130000 88.250000 -3.340000 0.000000
31067 3370 24.262600 0.710000 88.540000 -2.830000 1.120000
48741 3370 23.352300 0.130000 96.480000 -3.250000 0.050000
8038 3370 22.903100 0.120000 96.820000 -3.240000 0.020000
17501 3370 23.351300 0.410000 98.720000 -2.980000 0.170000
10587 3982 25.097400 0.520000 16.580000 -3.250000 0.330000
32275 3982 26.154600 0.750000 16.980000 -3.130000 1.190000
54537 3982 25.435600 0.510000 17.020000 -3.180000 0.490000
12797 3982 24.329000 0.430000 18.150000 -3.280000 0.350000
68254 3982 25.023300 0.250000 18.290000 -3.490000 0.100000
15318 3982 23.257000 0.500000 18.510000 -3.120000 0.640000
64179 3982 24.992300 0.480000 18.750000 -3.280000 0.530000
19463 3982 24.887500 0.190000 18.940000 -3.640000 0.050000
73388 3982 24.896900 0.240000 19.620000 -3.740000 0.110000
48062 3982 24.985800 0.560000 20.840000 -2.960000 1.420000
35102 3982 24.301000 0.460000 21.380000 -3.020000 0.800000
16746 3982 24.729500 0.350000 21.460000 -3.360000 0.120000
20027 3982 25.170000 0.520000 22.730000 -3.030000 0.920000
85628 3982 24.222800 0.480000 23.580000 -3.080000 0.650000
40688 3982 24.887400 0.510000 23.690000 -3.220000 0.290000
51886 3982 24.599000 0.180000 24.550000 -3.640000 0.010000
65962 3982 26.077400 0.590000 24.580000 -3.300000 0.190000
57905 3982 25.141200 0.410000 25.240000 -3.120000 0.740000
86821 3982 25.042500 0.650000 25.360000 -2.900000 1.440000
21186 3982 23.739900 0.420000 26.780000 -3.060000 0.460000
49777 3982 25.336100 0.890000 27.330000 -2.950000 1.250000
65677 3982 22.235200 0.150000 28.580000 -3.560000 0.020000
35316 3982 24.278000 0.450000 29.030000 -3.160000 0.620000
72633 3982 25.216700 0.280000 32.520000 -3.680000 0.000000
39405 3982 22.902500 0.360000 33.840000 -3.190000 0.200000
10406 3982 24.287500 0.160000 34.200000 -3.430000 0.030000
21055 3982 23.979800 0.240000 37.340000 -3.240000 0.110000
16117 3982 23.910800 0.360000 37.990000 -3.070000 0.260000
10837 3982 23.739000 0.260000 38.470000 -3.230000 0.070000
69280 3982 23.902100 0.120000 38.680000 -3.720000 0.020000
17690 3982 25.063100 0.580000 39.190000 -3.020000 0.560000
82298 3982 24.073800 0.250000 40.310000 -3.280000 0.170000
67799 3982 24.125900 0.120000 40.440000 -3.540000 0.000000
10346 3982 23.589300 0.210000 40.440000 -3.280000 0.070000
32060 3982 24.513400 0.580000 40.720000 -3.010000 0.540000
72603 3982 23.572800 0.130000 51.610000 -3.680000 0.000000
89486 3982 22.919200 0.400000 62.440000 -2.980000 0.440000
12402 3982 22.650000 0.280000 72.360000 -3.180000 0.020000
16026 3021 26.294300 0.460000 12.220000 -3.610000 0.320000
34830 3021 25.719200 0.590000 13.390000 -3.250000 0.550000
39653 3021 26.145300 0.480000 14.070000 -3.680000 0.270000
73085 3021 26.531000 0.650000 14.560000 -3.610000 0.120000
71145 3021 24.605300 0.360000 16.120000 -3.270000 0.260000
64603 3021 25.759300 0.750000 16.280000 -2.990000 1.240000
29320 3021 25.360700 0.690000 18.680000 -3.100000 1.290000
26176 3021 25.260700 0.390000 19.470000 -3.330000 0.330000
54363 3021 26.426700 0.760000 20.450000 -3.200000 0.610000
42349 3021 24.764300 0.440000 20.560000 -2.900000 1.460000
35001 3021 25.086400 0.600000 20.990000 -3.230000 0.730000
70351 3021 24.052800 0.560000 22.570000 -3.180000 0.490000
73805 3021 25.294300 0.200000 22.900000 -3.560000 -0.000000
69513 3021 24.302300 0.440000 23.980000 -3.120000 0.410000
70368 3021 25.668900 0.410000 25.140000 -3.320000 0.060000
60391 3021 24.537400 0.310000 28.670000 -3.240000 0.110000
31450 3021 24.013000 0.540000 31.640000 -3.020000 0.690000
54600 3021 24.447400 0.470000 32.590000 -3.080000 0.270000
66191 3021 25.486100 0.240000 32.660000 -3.640000 0.040000
57991 3021 24.655300 0.620000 35.430000 -2.820000 0.490000
68742 3021 24.706400 0.290000 36.730000 -3.170000 0.190000
94290 3021 24.644900 0.730000 37.110000 -3.070000 0.860000
59774 3021 24.182800 0.320000 39.190000 -3.210000 0.270000
32262 3021 23.723400 0.550000 44.790000 -2.980000 0.570000
34624 3021 23.570000 0.590000 48.270000 -3.070000 0.380000
101986 3021 24.208000 0.530000 56.240000 -2.970000 0.700000
26664 3021 24.018400 0.260000 58.580000 -3.330000 0.050000
38746 3021 22.847900 0.520000 74.770000 -3.040000 0.270000
61619 3021 23.592600 0.380000 81.020000 -2.900000 0.360000
33806 3021 23.403300 0.490000 108.300000 -2.920000 0.390000
21599 1309 26.737100 0.510000 20.930000 -3.300000 0.040000
9778 1309 24.868100 0.320000 21.980000 -3.210000 0.130000
8610 1309 25.601200 0.660000 23.220000 -2.900000 1.100000
6631 1309 24.526300 0.340000 24.810000 -3.240000 0.060000
6737 1309 25.513000 0.590000 25.450000 -3.230000 0.380000
44606 1309 26.484200 0.630000 25.840000 -3.170000 0.860000
41542 1309 24.434300 0.530000 27.710000 -3.020000 1.210000
2343 1309 24.384000 0.230000 29.610000 -3.140000 0.180000
23076 1309 24.633800 0.490000 30.660000 -3.000000 0.380000
7224 1309 25.693800 0.780000 30.900000 -3.300000 0.830000
50024 1309 24.350000 0.380000 31.690000 -3.210000 0.260000
59151 1309 24.118100 0.320000 32.610000 -3.260000 0.170000
60583 1309 25.572800 0.660000 32.950000 -2.870000 0.860000
4322 1309 25.058100 0.230000 33.250000 -3.260000 0.030000
3108 1309 25.130700 0.300000 33.710000 -3.200000 0.100000
9099 1309 24.315300 0.720000 33.740000 -2.900000 0.900000
30771 1309 23.784300 0.170000 33.740000 -3.430000 0.030000
14063 1309 24.408900 0.350000 34.070000 -2.900000 0.940000
59846 1309 24.050200 0.670000 35.120000 -2.890000 1.030000
7868 1309 25.210200 0.350000 36.170000 -3.150000 0.170000
7989 1309 24.185100 0.260000 39.410000 -3.150000 0.050000
27980 1309 24.621300 0.600000 39.920000 -3.070000 0.520000
52975 1309 25.258400 0.170000 40.520000 -3.440000 0.030000
7994 1309 24.985100 0.610000 40.680000 -3.190000 0.450000
1166 1309 24.669000 0.210000 41.110000 -3.180000 0.080000
76534 1309 25.295800 0.770000 41.860000 -2.910000 1.450000
22918 1309 23.943800 0.430000 42.030000 -3.010000 0.450000
2032 1309 24.154800 0.240000 42.530000 -3.150000 0.050000
48747 1309 24.611500 0.160000 42.680000 -3.370000 0.030000
67393 1309 24.661500 0.670000 42.740000 -2.770000 1.080000
58298 1309 24.554300 0.210000 43.520000 -3.250000 0.050000
7331 1309 24.516800 0.810000 44.580000 -2.920000 0.980000
1732 1309 24.434800 0.210000 45.000000 -3.160000 0.070000
19368 1309 25.926100 0.670000 45.250000 -3.000000 0.380000
49584 1309 25.430200 0.580000 45.670000 -3.170000 0.520000
16143 1309 24.640000 0.370000 46.740000 -3.030000 0.370000
15346 1309 23.847900 0.540000 46.850000 -2.960000 0.310000
52566 1309 24.482700 0.380000 47.410000 -3.300000 0.160000
52170 1309 24.496400 0.350000 47.990000 -3.270000 0.240000
4882 1309 24.932500 0.190000 48.910000 -3.220000 0.000000
68817 1309 24.892700 0.570000 49.930000 -2.890000 0.780000
15318 1309 24.398400 0.180000 51.450000 -3.160000 0.050000
71911 1309 24.588400 0.690000 51.990000 -2.930000 0.720000
28132 1309 25.011800 0.650000 52.240000 -3.000000 0.500000
6581 1309 24.286100 0.200000 58.980000 -3.180000 0.070000
6542 1309 24.121000 0.210000 59.120000 -3.210000 0.040000
53187 1309 24.616300 0.290000 59.750000 -3.320000 0.110000
69494 1309 23.962800 0.330000 60.170000 -3.030000 0.260000
19918 1309 24.627900 0.360000 64.940000 -3.020000 0.220000
64757 1309 23.573100 0.370000 65.020000 -2.990000 0.180000
13102 1309 24.393800 0.260000 66.340000 -3.070000 0.190000
45088 1309 24.120200 0.560000 71.400000 -3.120000 0.320000
3836 1309 23.913300 0.170000 73.270000 -3.100000 0.070000
7702 1309 23.767400 0.220000 73.760000 -3.260000 0.020000
23616 1309 23.971000 0.120000 82.130000 -3.330000 0.010000
4908 1309 23.596400 0.270000 97.890000 -2.980000 0.080000
835998 5584 23.104200 0.140000 97.750000 -3.190000 0.020000
625643 5584 23.630300 0.230000 93.910000 -3.150000 0.080000
414458 5584 22.746800 0.210000 91.510000 -3.120000 0.050000
325718 5584 22.712600 0.180000 88.510000 -3.200000 0.060000
449432 5584 22.967700 0.230000 84.690000 -3.170000 0.060000
735368 5584 22.703100 0.160000 81.350000 -3.260000 0.050000
395114 5584 23.385200 0.230000 81.190000 -3.050000 0.120000
172880 5584 22.675700 0.160000 79.480000 -3.270000 0.070000
354807 5584 23.350300 0.200000 75.260000 -3.080000 0.070000
200686 5584 23.070600 0.200000 74.800000 -3.240000 0.080000
801059 5584 23.023600 0.170000 71.460000 -3.140000 0.090000
781327 5584 24.222300 0.380000 68.170000 -3.040000 0.200000
1028620 5584 23.218500 0.140000 65.820000 -3.300000 0.070000
325206 5584 23.528000 0.190000 64.080000 -3.130000 0.080000
185292 5584 23.521000 0.250000 63.110000 -3.300000 0.070000
715226 5584 23.799000 0.340000 60.540000 -2.990000 0.160000
607520 5584 23.304900 0.240000 60.040000 -3.130000 0.140000
758598 5584 24.508000 0.430000 58.780000 -3.050000 0.210000
628911 5584 23.517700 0.290000 57.830000 -3.130000 0.240000
770520 5584 22.712400 0.140000 57.730000 -3.300000 0.040000
111577 5584 23.270500 0.230000 56.720000 -3.330000 0.120000
823580 5584 23.122400 0.230000 56.170000 -3.090000 0.060000
473829 5584 23.301800 0.260000 55.130000 -3.180000 0.100000
673309 5584 22.993900 0.200000 53.560000 -3.160000 0.130000
549082 5584 23.719500 0.330000 52.160000 -2.910000 0.280000
502797 5584 23.170300 0.240000 51.920000 -3.000000 0.170000
858989 5584 22.624900 0.200000 51.770000 -3.130000 0.090000
766511 5584 24.092600 0.230000 49.350000 -3.320000 0.080000
775000 5584 23.355000 0.270000 47.940000 -3.230000 0.150000
891587 5584 23.359500 0.210000 47.860000 -3.140000 0.140000
1031570 5584 23.723100 0.170000 47.050000 -3.300000 0.100000
478350 5584 23.852400 0.290000 46.750000 -3.060000 0.160000
781586 5584 24.113500 0.360000 46.660000 -3.030000 0.360000
455911 5584 24.888500 0.540000 46.100000 -3.160000 0.270000
295981 5584 23.848700 0.210000 45.660000 -3.150000 0.110000
347072 5584 22.685100 0.350000 44.980000 -3.170000 0.270000
97566 5584 23.257800 0.260000 43.490000 -3.350000 0.140000
411135 5584 23.785900 0.380000 43.460000 -3.030000 0.250000
715986 5584 23.861400 0.320000 42.450000 -3.150000 0.140000
374736 5584 23.681300 0.440000 41.520000 -3.120000 0.360000
238461 5584 24.096500 0.460000 39.160000 -3.210000 0.130000
571414 5584 23.601300 0.310000 39.160000 -3.070000 0.280000
1003920 5584 23.471300 0.310000 39.010000 -3.300000 0.210000
545366 5584 24.949200 0.460000 38.810000 -3.020000 0.160000
727892 5584 24.311800 0.290000 38.650000 -3.280000 0.240000
449157 5584 24.334600 0.550000 38.490000 -3.000000 0.430000
513827 5584 23.324400 0.480000 38.200000 -2.910000 0.360000
605531 5584 24.339000 0.410000 38.070000 -3.060000 0.200000
550433 5584 23.769800 0.190000 38.040000 -3.340000 0.070000
1015180 5584 23.740000 0.260000 37.170000 -3.280000 0.110000
606041 5584 23.487400 0.320000 36.880000 -3.170000 0.240000
738261 5584 24.071100 0.480000 36.540000 -3.020000 0.360000
390652 5584 23.897400 0.490000 36.480000 -3.140000 0.220000
421192 5584 23.453100 0.380000 36.290000 -3.020000 0.110000
253461 5584 23.982400 0.600000 36.270000 -3.230000 0.540000
200467 5584 24.356000 0.350000 35.850000 -3.270000 0.280000
208725 5584 24.358200 0.440000 35.130000 -3.270000 0.310000
493790 5584 24.525900 0.600000 34.440000 -2.950000 0.530000
267902 5584 25.645600 0.650000 33.470000 -3.220000 0.620000
644384 5584 25.215100 0.690000 33.110000 -3.170000 0.230000
220248 5584 24.059500 0.280000 31.360000 -3.230000 0.090000
811974 5584 23.903600 0.370000 31.060000 -3.240000 0.140000
918325 5584 24.220500 0.310000 30.500000 -3.190000 0.140000
521128 5584 24.011300 0.400000 30.460000 -2.980000 0.440000
464626 5584 24.143900 0.360000 30.310000 -3.100000 0.280000
378235 5584 24.218500 0.190000 30.170000 -3.410000 0.090000
418643 5584 23.543100 0.300000 30.100000 -3.100000 0.320000
511109 5584 24.281300 0.440000 30.000000 -2.960000 0.550000
466137 5584 24.042100 0.550000 29.600000 -3.040000 0.260000
1073820 5584 23.418000 0.210000 29.510000 -3.340000 -0.100000
412396 5584 24.336100 0.660000 28.870000 -3.090000 0.460000
230093 5584 23.932400 0.370000 28.360000 -3.210000 0.290000
504490 5584 24.088400 0.510000 28.310000 -2.920000 0.560000
927325 5584 24.130600 0.290000 27.860000 -3.240000 0.230000
298430 5584 24.738700 0.300000 27.530000 -3.270000 0.260000
602554 5584 23.755400 0.460000 26.710000 -3.180000 0.340000
563696 5584 24.489000 0.340000 26.660000 -3.080000 0.320000
711358 5584 25.188200 0.390000 26.640000 -3.230000 0.020000
852752 5584 23.468000 0.270000 26.360000 -3.160000 0.220000
519642 5584 23.211800 0.430000 25.750000 -2.950000 0.470000
550434 5584 24.543100 0.280000 25.590000 -3.360000 0.070000
740028 5584 24.262300 0.630000 25.570000 -3.000000 0.380000
825506 5584 25.905900 0.490000 25.300000 -3.190000 0.160000
912240 5584 24.832800 0.410000 25.060000 -3.180000 0.270000
892554 5584 23.938800 0.380000 25.020000 -3.190000 0.200000
729270 5584 24.650000 0.270000 24.710000 -3.360000 0.230000
82928 5584 24.781500 0.430000 24.280000 -3.360000 0.090000
