,ra,dec,type,u,g,r,i,size
28,185.180941555,15.0947460851,3,23.22849,22.81852,22.29828,22.21881,1.377799
29,185.18134919,15.1663576843,3,21.78666,20.91777,19.65112,19.20226,1.016094
30,185.180497467,15.0277863221,6,23.25261,24.28685,22.25702,21.94264,0.7764964
31,185.181341064,15.0273760208,3,24.50416,23.28881,21.47509,20.60305,0.8930253
32,185.125606458,15.1349191292,3,22.8936,21.39523,20.10907,19.62793,1.154949
33,185.125145941,15.0011316812,3,25.09559,24.14443,24.68222,22.19374,0.6932522
34,185.124853936,15.0033718039,3,21.9782,21.12159,19.90574,19.21029,1.236822
35,185.124853936,15.003371804,3,21.96875,21.11408,19.89868,19.20319,1.242535
36,185.125063882,15.0924432509,3,25.9611,23.0458,22.51499,21.35803,0.7772893
37,185.124489374,15.1015331036,3,23.65627,22.68008,20.9547,20.41656,0.8647379
38,185.125250105,15.0786174486,6,22.93451,21.97081,21.59952,21.59463,0.4516923
39,185.124630526,15.1510721561,6,23.15769,22.6951,21.22104,20.33933,0.6315341
40,185.124879504,15.0033673818,3,23.56739,20.8363,19.80544,19.15254,1.904722
41,185.083211124,15.1465646529,3,22.14509,21.37629,19.96381,19.48074,1.056848
42,185.003017365,15.1733467935,3,21.61085,20.52976,19.62304,19.3331,1.170892
43,185.040511657,15.0105177524,3,24.41149,23.10735,22.76909,21.57608,0.6667476
44,185.125188125,15.0009630216,6,25.11014,23.99661,22.56463,24.06882,-9999.0
45,185.125281976,15.0786155382,6,23.43644,22.00142,21.50085,21.66827,0.6626627
46,185.124870257,15.0033682765,3,21.81351,20.97088,19.75862,19.16558,1.423174
47,185.124503806,15.1015422279,6,24.20258,22.88833,21.17206,20.50694,0.7815515
48,185.124614086,15.1510433059,6,24.50883,22.54308,21.041,20.37183,0.8863157
49,185.083060845,15.0781839231,3,23.0319,22.87996,22.56136,23.56387,0.135025
50,185.084096663,15.0778012838,3,21.84676,21.63951,21.37179,20.66723,1.347449
51,185.084091408,15.0777967582,3,21.56499,21.14466,20.86357,20.39099,1.073938
52,185.083516044,15.0148119437,6,22.84028,22.51541,21.7791,21.33421,0.8048404
53,185.083215412,15.1465839916,3,22.18934,21.29125,19.83543,19.26087,1.006691
54,185.125349062,15.1119439689,3,18.52724,17.44424,16.8558,16.49068,3.19242
55,185.125349061,15.111943967,3,18.40953,17.36174,16.78116,16.41755,3.724976
56,185.040909045,15.0487860421,3,19.26196,19.4084,26.55941,27.33251,-9999.0
57,185.040357541,15.0568471844,3,23.04855,21.80625,26.61385,24.43346,-9999.0
58,185.181392326,15.1485104705,6,24.39376,22.61168,21.09336,21.83735,0.5957114
59,185.125322048,15.111976047,3,18.59222,17.45707,16.873,16.49284,3.216582
60,185.125322046,15.111976042,3,18.47054,17.34846,16.77147,16.39545,3.894786
61,185.124456403,15.0682181233,6,20.64091,19.77073,19.4416,19.32078,0.5845809
62,185.084007618,15.065665934,6,20.62765,19.7513,19.4542,19.33071,0.6140994
63,185.083686285,15.1830058936,6,21.91978,19.25169,18.13504,17.68174,0.6286908
64,185.083706398,15.1830136226,6,21.72219,19.24788,18.13357,17.67811,0.6319723
65,185.002573179,15.1990757059,6,20.89789,18.41478,17.0501,16.4157,0.6334201
66,185.002573179,15.1990757059,6,20.89792,18.41478,17.0501,16.41569,0.6335843
67,185.002590334,15.1990796671,6,20.90619,18.42412,17.05487,16.41843,0.6315339
68,185.08308864,15.144409378,6,24.21687,24.6503,22.69587,25.09169,0.08673299
69,185.040553344,15.1865637748,6,23.20907,21.78285,20.30657,19.19203,0.610953
70,185.040390942,15.0328911281,3,22.64623,22.52547,22.89602,21.71723,0.6179699
71,185.187088114,15.1084977794,3,24.47472,24.70239,22.17127,21.47646,0.7519228
72,185.012579899,15.0439625702,6,23.81524,20.56943,19.29002,18.60536,0.6380054
73,185.011808731,15.0461488249,6,22.82838,21.06129,19.74863,18.33013,0.6898636
74,185.012580332,15.0439631076,6,24.24451,20.53561,19.26787,18.32102,0.6740479
75,185.0118198,15.0461481097,6,22.52717,20.95565,19.6681,18.31428,0.7122723
76,185.049712207,15.0564106484,3,24.15571,25.82249,22.76153,24.28244,0.9165263
77,185.187040641,15.164333267,3,25.36485,18.38173,17.78615,31.01067,-9999.0
78,185.165272848,15.1918841527,3,26.55731,22.99142,21.86302,21.1526,0.7022246
79,185.165101769,15.1821826218,3,25.92829,23.19881,22.07241,21.59152,0.809691
80,185.092794415,15.0366932844,3,21.09382,22.16316,20.68699,20.5605,1.302671
81,185.092934814,15.166591958,6,21.49142,20.88305,20.44287,20.27532,0.7692266
82,185.05069932,15.1053420407,3,24.2612,22.88065,21.69807,21.18791,0.6052788
83,185.049979577,15.01594126,3,23.50214,23.05163,21.92508,22.29502,0.9146805
84,185.01218653,15.100566228,3,24.77262,22.68962,21.64104,21.45497,0.5841306
85,185.011641237,15.0643880608,6,24.80911,23.3446,22.05335,21.20856,0.9832627
86,185.092114345,15.0735083699,3,21.84255,20.25232,19.23717,18.81404,1.145797
87,185.05034196,15.0660560607,3,24.69268,22.59399,21.78241,21.3455,0.757013
88,185.050091376,15.167506243,3,21.98234,22.21183,21.28021,20.96084,0.9463216
89,185.012284299,15.0057380883,3,22.66541,22.77887,22.53097,21.81912,0.5983928
90,185.011893285,15.0532364262,6,25.07035,21.90055,21.27301,20.97103,0.471848
91,185.011894029,15.0532564104,3,24.92331,20.89644,20.25896,20.07733,0.754521
92,185.011818129,15.0461418178,6,21.99397,20.95004,19.63502,18.3079,0.6456422
93,185.012588417,15.0439583598,6,22.8229,20.623,19.30081,18.65673,0.5916806
94,185.187237837,15.1825222131,6,22.89992,22.69701,21.48633,21.33661,0.4836904
95,185.165755775,15.1080874737,6,20.92181,20.23036,19.83435,19.78107,0.6041164
96,185.01223338,15.1699870536,6,24.54317,23.97687,22.90564,21.42772,0.6036406
97,185.186747655,15.0711800886,3,22.37045,22.59924,22.09467,21.91187,0.7255618
98,185.186747656,15.0711800929,3,22.37395,22.59758,22.09328,21.90696,0.8172008
99,185.187139947,15.0300186171,3,22.55231,20.92807,19.91245,19.45993,0.8524578
100,185.165758262,15.108088705,6,20.92958,20.20253,19.86675,19.79752,0.6266779
101,185.165100863,15.182156162,3,26.045,23.26739,22.11426,21.61436,0.6815939
102,185.165556065,15.0128605392,3,26.2116,22.33561,26.16031,24.2518,-9999.0
103,185.165770877,15.1080809564,6,21.10571,20.20318,19.93495,19.82568,0.778262
104,185.18714148,15.0300127378,3,23.90062,20.6798,19.60466,19.12687,1.471262
105,185.165485086,15.1427752498,3,25.87343,23.83446,23.59566,24.54036,4.375173
106,185.092865458,15.0367254795,3,21.94163,21.81762,21.21624,21.33209,0.7080505
107,185.09245669,15.1058812571,6,23.47085,23.18687,25.13565,23.27595,0.6685995
108,185.092637053,15.1638138625,3,21.98128,21.72622,20.59091,20.18884,0.9504171
109,185.092319057,15.116635363,6,22.38695,19.66607,18.25362,17.1465,0.747761
110,185.092326262,15.1166350504,6,22.26591,19.6601,18.24529,17.14484,0.748024
111,185.092244883,15.169235776,3,22.43217,23.3448,22.64977,21.4565,0.9031137
112,185.050602592,15.0508069566,6,18.44543,17.2205,16.76777,16.60365,0.618585
113,185.050621262,15.0508121919,3,18.38228,17.19021,16.73394,16.56323,7.417198
114,185.012587344,15.0439592241,6,22.62724,20.58412,19.25784,18.33058,7.343595
115,185.011846553,15.0461556997,6,22.07212,21.04428,19.69339,18.34341,0.5994565
116,185.012216966,15.1699740309,6,23.46793,24.78468,23.28488,21.43407,0.64239
117,185.092309236,15.1691626597,3,21.5933,22.40351,21.5832,21.47401,-9999.0
118,185.092157895,15.0735083937,3,21.60255,20.21255,19.3156,18.85496,1.122648
119,185.092148144,15.1099342364,6,19.37973,19.01393,19.29801,19.513,0.7116055
120,185.092147864,15.1099347039,3,19.32818,18.98815,19.24333,18.87896,1.984827
121,185.092154521,15.1099339301,3,18.97424,18.70867,18.72071,18.8523,5.195758
122,185.050622887,15.0508047781,6,18.49069,17.1943,16.74184,16.61513,0.6853933
123,185.050630129,15.05080393,6,18.46773,17.33066,17.46978,17.17969,0.4479026
124,185.165798667,15.0254492026,3,22.35241,21.28393,19.79165,19.30292,1.206167
125,185.165798664,15.0254491971,3,22.29966,21.21824,19.72656,19.2422,1.297722
126,185.165493609,15.0948592045,6,26.35509,22.85057,25.66169,24.50678,2.505447
127,185.165631838,15.0783309022,3,25.41092,22.08468,21.42025,21.29659,0.840947
128,185.164974406,15.1317476029,6,22.74616,22.1325,21.88799,22.23228,-9999.0
129,185.165267913,15.1918743824,3,26.60658,23.14559,21.97878,21.2673,0.7332363
130,185.165459711,15.0948676804,6,26.47128,22.86626,25.75052,24.26776,-9999.0
131,185.165640949,15.0783303937,3,25.87539,22.07155,21.39629,21.20812,1.05223
132,185.164955411,15.0329896915,3,24.12579,22.43894,21.09096,20.31409,1.372607
133,185.164955411,15.0329896915,3,25.09416,22.43894,21.09096,20.31409,1.372607
134,185.165806595,15.0254644064,3,24.64598,21.23469,19.67807,19.0722,1.183627
135,185.165806597,15.0254644125,3,24.71399,21.15788,19.60236,18.99147,1.534648
136,185.092921943,15.1666334587,6,22.44138,20.821,20.38133,20.20489,0.5539579
137,185.092609382,15.1638303414,3,22.149,21.51346,20.66478,20.15972,0.9743756
138,185.092351609,15.0124904334,3,25.9276,22.43739,24.81482,25.59699,-9999.0
139,185.164957237,15.1317361541,6,23.43449,22.46532,21.77386,21.88209,0.508726
140,185.16504445,15.1410219878,3,24.05976,21.89746,20.19579,19.79881,0.6645511
141,185.165621867,15.0783163011,3,22.58359,22.20469,21.57595,21.24789,1.021678
142,185.164995162,15.1317110281,6,24.58048,22.02905,21.50729,21.64904,0.6106206
143,185.164984358,15.032917466,3,23.47423,22.18724,21.15933,20.68263,1.378584
144,185.092279091,15.1166515281,6,22.46002,19.72951,18.24843,17.16327,0.6254972
145,185.092299609,15.1166593194,6,22.16885,19.72154,18.24209,17.15998,0.6269537
146,185.092117418,15.1099500505,6,19.50274,19.08394,19.33872,19.6034,0.609629
147,185.092114176,15.1099587978,3,19.10763,18.72452,18.76719,18.37567,2.565021
148,185.092134228,15.1099659542,6,19.05369,18.70104,18.74147,18.88591,2.137931
149,185.012201148,15.1005733668,3,23.96853,22.78203,21.72043,21.47106,0.5245807
150,185.011662385,15.0643856225,6,24.73461,23.43424,22.06632,21.22185,0.6709452
151,185.011902352,15.0532386096,6,24.29564,21.84826,21.17061,20.8833,0.495348
152,185.011903406,15.0532438378,6,22.52125,20.79339,20.13071,19.97225,0.760248
153,185.012278104,15.0056820629,3,21.90106,22.35889,21.67245,21.48447,0.9431385
154,185.050471004,15.0673387706,6,24.29908,24.86782,23.77575,21.63716,0.4243858
155,185.050349599,15.0659672059,3,24.06393,22.68962,22.5554,21.34668,0.7492499
156,185.0503496,15.0659672062,3,24.06025,22.68897,22.55348,21.34451,0.7728079
157,185.050118465,15.1674843545,3,22.27149,22.1122,21.51877,21.03938,1.053892
158,185.049909744,15.1760333886,3,24.74687,22.04347,22.11446,23.1445,4.595631
159,185.011913247,15.0532717321,6,23.00739,21.75932,21.09047,20.9064,0.6544978
160,185.011909241,15.0532653918,3,22.14615,21.246,20.60985,20.35189,2.277741
161,185.164970693,15.0329989875,3,23.29602,21.51093,20.17364,19.41647,1.757101
162,185.164970693,15.0329989875,3,24.42122,21.51093,20.17364,19.41647,1.757101
163,185.165808489,15.0254581517,3,23.74438,21.14405,19.57503,18.99335,1.455199
164,185.165808492,15.0254581593,3,23.60042,21.02035,19.44198,18.85405,1.255617
165,185.165329601,15.1519602002,3,23.4197,22.40766,26.24699,24.62905,-9999.0
166,185.165073139,15.14098237,6,24.47273,23.16897,21.05089,20.78053,0.5107802
167,185.012253435,15.0056867972,3,23.49113,20.57808,21.43741,21.49392,0.7286217
168,185.18724506,15.1824980403,6,23.54452,22.64338,21.72929,21.99311,0.6089442
169,185.186785078,15.0711091828,3,22.27716,22.0545,21.43232,21.12032,1.989203
170,185.165609792,15.061051229,3,23.60274,22.6557,22.41405,22.06123,0.8097255
171,185.012578428,15.0439633213,6,23.28134,20.61553,19.26991,18.64279,0.5912318
172,185.123176992,15.1692710891,3,22.99986,23.73013,22.29054,21.79942,0.6472619
173,185.157419767,15.043566948,3,25.34263,22.83302,21.8572,21.96855,0.7362137
174,185.080820918,15.1525284089,6,23.42448,22.2291,22.79216,22.50957,1.034691
175,185.010250085,15.1007192718,6,21.86885,24.33287,24.25356,24.16297,-9999.0
176,185.081017545,15.0404177581,6,23.49818,22.18883,20.63754,19.20074,0.7314031
177,185.081017545,15.0404177579,6,23.49798,22.18698,20.63634,19.1997,0.7316391
178,185.080895362,15.1525285122,6,23.02202,22.64083,22.36696,22.14942,0.8069811
179,185.123355122,15.1054938367,3,20.79226,20.09932,19.41882,19.134,1.020632
180,185.047174895,15.0537768093,3,24.46347,24.98696,24.71045,20.13228,0.9522356
181,185.176496283,15.0019752705,3,18.72279,22.04721,20.68783,26.53702,-9999.0
182,185.176041814,15.106145661,3,25.75098,23.1267,21.57268,20.92881,0.8830931
183,185.176657008,15.1589029565,3,22.69392,22.44563,22.56793,22.94968,-9999.0
184,185.176394383,15.094880556,3,22.96361,22.61052,22.13873,22.14956,0.8738731
185,185.176801986,15.0169192233,3,22.07829,21.39417,20.80753,20.80457,1.139164
186,185.176065487,15.0106145338,3,20.55681,19.51498,18.83729,18.4528,1.575004
187,185.17652418,15.0617459601,6,21.04375,18.73257,17.76726,17.4094,0.587624
188,185.17652418,15.0617459601,6,21.04376,18.73258,17.76727,17.4094,0.587531
189,185.176542849,15.061753141,3,20.87149,18.72561,17.75943,17.39846,15.28547
190,185.175687762,15.1458695296,6,27.07363,19.59011,25.73033,25.40798,3.923851
191,185.176056978,15.0105892626,3,20.4227,19.57982,18.84262,18.47694,1.627401
192,185.175736003,15.1424964819,6,22.93589,24.99515,24.71555,22.18379,0.6409247
193,185.15769624,15.0032650613,3,22.71326,23.0106,22.51074,22.01581,0.677055
194,185.157171757,15.1678692124,6,22.41208,24.25889,23.00042,21.45808,0.4743358
195,185.080946766,15.0649611645,3,24.91308,23.79571,22.21887,21.31334,0.5292742
196,185.157406582,15.0328723229,3,24.88526,23.18921,22.14845,22.32976,0.3607436
197,185.157013473,15.1233104801,3,27.43798,22.28761,19.52536,19.26241,3.306537
198,185.124106952,15.1843242266,3,23.9428,21.90699,20.51227,19.87274,1.065996
199,185.123634704,15.0580868871,3,26.87723,22.10316,20.29012,19.43622,0.7729688
200,185.08162059,15.1909868191,3,23.13118,21.61062,20.99194,20.54553,0.9792474
201,185.08104063,15.0733559495,3,22.91048,22.67784,22.24692,21.84953,0.6764464
202,185.080975113,15.0404313668,6,22.99112,22.08096,20.5846,19.21235,0.598507
203,185.048221566,15.0996331983,3,21.41642,20.74335,19.52475,19.0574,1.577317
204,185.048236336,15.0996213941,3,21.2717,20.73183,19.481,19.0359,1.580838
205,185.047405475,15.114518639,6,25.17488,22.27702,21.71418,21.66599,0.701318
206,185.010422594,15.061531845,3,23.83051,21.91721,22.67777,21.6599,-9999.0
207,185.00993849,15.1751970458,3,24.71953,24.86604,23.06835,21.50688,0.526716
208,185.009988946,15.0148646915,3,25.64135,22.48293,21.14381,20.00486,0.6317317
209,185.156955825,15.0641121666,6,21.11352,20.36917,19.91404,19.52948,0.7160087
210,185.156955825,15.0641121666,6,21.11363,20.36924,19.91405,19.52951,0.7133194
211,185.123336016,15.1055299876,3,20.72939,20.10011,19.33729,19.13599,0.830389
212,185.156743449,15.1488593782,6,24.98936,25.29473,23.60542,22.10776,0.3724926
213,185.048246514,15.0512112575,3,24.46312,21.26761,19.95798,20.20288,0.8434808
214,185.010261903,15.1007172291,6,21.81659,24.48818,24.0182,24.06583,0.3847586
215,185.157411675,15.1713651378,3,23.9802,22.75928,21.94038,22.93993,0.5073615
216,185.156964622,15.06409519,3,21.48397,20.47238,20.04433,19.64654,0.9207233
217,185.156964618,15.0640951839,6,21.48379,20.47229,20.05442,19.64868,0.9195538
218,185.009953744,15.1751799538,6,25.4639,23.85426,22.90971,21.35497,0.8517102
219,185.081057986,15.0650449342,3,23.22834,23.91122,22.12991,21.28616,1.132052
220,185.080728799,15.0538514655,3,25.27734,23.25261,21.61026,20.67431,1.474046
221,185.124152921,15.1787829779,6,24.87075,23.06051,22.92426,22.74537,0.6844486
222,185.124157427,15.1843187157,3,22.71138,22.10033,20.64317,20.07958,1.165154
223,185.123680034,15.0580671025,3,25.85882,22.05338,20.36544,19.59713,1.22594
224,185.081731449,15.1952182024,3,25.49684,22.99118,23.11987,22.39433,1.339267
225,185.081670548,15.1910141939,3,22.10188,21.89335,20.95599,20.59967,0.9510902
226,185.081165444,15.0733204733,3,23.0065,22.75684,21.92165,21.729,0.5281027
227,185.047579691,15.0500126094,3,19.32606,19.03905,26.56662,26.5302,27.51209
228,185.176474069,15.0948838693,6,24.11566,22.96243,22.47835,22.25993,0.4584405
229,185.176479277,15.0948806777,6,24.10068,22.95731,22.4402,21.76695,0.6385275
230,185.176056611,15.1060996513,6,23.61282,22.50695,21.68613,21.31719,0.699453
231,185.175978279,15.1852560645,3,22.71684,22.58424,22.54581,22.13681,1.016629
232,185.176531976,15.0617401023,6,21.08476,18.73477,17.76164,17.42848,0.7602229
233,185.176542084,15.0617415166,6,21.05639,18.73632,17.76245,17.42776,0.7598607
234,185.009981639,15.1751974721,6,24.67235,25.03301,23.1475,21.52225,0.5161045
235,185.010455197,15.0615602295,3,23.00258,22.52654,23.10486,21.96278,0.1116042
236,185.010007248,15.0148660465,3,20.50244,20.50729,19.40859,18.63342,52.82893
237,185.009344338,15.0853582748,3,22.42825,21.62078,21.28633,21.07271,1.180316
238,185.157390704,15.0434829679,3,25.53941,23.26548,22.43001,22.81895,-9999.0
239,185.080842381,15.0637715196,3,23.90791,24.65805,24.40747,21.45644,1.233514
240,185.081057984,15.065044931,3,23.22782,23.91147,22.12943,21.28824,1.140577
241,185.123170966,15.1203080479,3,23.50745,22.47122,23.63538,22.59166,0.07096277
242,185.04829437,15.0996601329,3,22.46678,20.63979,19.50163,19.05194,1.708054
243,185.04829437,15.0996601329,3,22.34695,20.63979,19.50163,19.05194,1.708054
244,185.047432125,15.1144982646,6,23.57134,22.13915,21.83405,21.75576,0.5244599
245,185.010009915,15.0148850557,6,22.85886,22.50564,21.26198,19.99257,0.6710136
246,185.176433215,15.1588024642,6,22.92904,23.68063,22.50109,22.4887,1.473665
247,185.010079499,15.0040069058,3,22.82672,23.65727,21.9273,24.0347,-9999.0
248,185.157250569,15.1678579589,6,24.52593,23.44078,23.39792,21.35101,0.766394
249,185.161948289,15.0573094385,3,23.26866,23.44893,22.71758,21.81685,0.9173967
250,185.161567105,15.0562889252,3,20.57653,21.46664,20.12785,19.96319,1.222453
251,185.161600948,15.0563359243,3,22.03599,22.127,21.82387,19.9426,3.608312
252,185.162008433,15.0840347456,6,25.96567,23.91439,22.20424,21.99081,0.5531924
253,185.161593029,15.069910236,6,24.01,23.05301,22.18708,21.41428,0.5957603
254,185.058607141,15.1004589253,3,25.24259,23.62065,22.03539,21.80751,0.5412001
255,185.020488658,15.1778035809,3,26.22002,23.45426,21.66556,20.40814,1.139195
256,185.02008709,15.1643053623,3,26.09323,22.55567,21.50565,21.49199,0.9579085
257,185.019575828,15.0466407809,3,23.13164,22.14896,21.23922,21.66053,0.6536363
258,185.131279769,15.0980129642,6,24.35167,23.75272,22.8683,21.90891,0.5890774
259,185.058258906,15.1766255894,3,23.37876,22.75389,23.6602,22.12477,2.778034
260,185.058662019,15.0136007812,6,25.44893,24.62507,22.64492,24.18694,-9999.0
261,185.020337985,15.1532171119,6,22.81415,22.27321,21.86395,21.62149,0.7551584
262,185.020219253,15.1321867097,3,24.47132,22.35197,21.70515,21.31829,1.083452
263,185.020184167,15.0529147483,6,23.03473,22.40654,21.85682,21.93591,0.9966562
264,185.020180231,15.1908392777,3,25.00562,22.1792,21.59272,21.57088,1.728167
265,185.019605486,15.0414268881,3,22.61465,22.61292,21.33518,20.79428,0.8875771
266,185.059137505,15.1167980551,6,20.00044,19.1713,18.92944,18.80025,0.7195756
267,185.059137722,15.1167981509,6,19.98767,19.16601,18.92273,18.79086,0.7342255
268,185.059144164,15.1167971987,6,19.97528,19.16421,18.91784,18.79054,0.7274672
269,185.094590129,15.1448073675,3,24.53249,23.25662,21.79382,20.92562,1.266808
270,185.094914702,15.1344723814,3,23.28863,22.81063,21.57364,21.31404,1.272153
271,185.130638544,15.0684672755,3,24.59547,22.20366,21.62634,21.87885,0.6892481
272,185.058315819,15.0348520205,3,25.93904,21.03244,26.01932,25.58612,3.249873
273,185.02027918,15.1531895398,6,23.24992,22.40293,21.77466,21.94613,0.4284524
274,185.020234516,15.1322098391,6,23.02932,22.12714,21.4316,21.19487,0.6642789
275,185.020170212,15.0529905698,3,23.82535,22.64839,21.80016,22.10786,0.9473474
276,185.02021659,15.1908409929,3,23.16653,21.87674,21.50817,21.20793,0.6336743
277,185.019558781,15.0413579188,3,22.90393,21.63215,20.67599,20.38444,0.8478672
278,185.019596904,15.1938819515,6,21.54893,25.15743,24.95846,24.41889,-9999.0
279,185.162290274,15.1956128722,6,22.44873,19.62576,18.30719,17.69288,0.5950089
280,185.162309031,15.1956201015,6,22.05513,19.60362,18.29206,17.67213,7.554763
281,185.16225114,15.1430757072,6,25.34234,25.64106,26.66644,22.91467,0.2577248
282,185.161827401,15.0572880163,3,23.31133,23.76373,23.66489,21.83014,1.231962
283,185.161558518,15.0562981487,3,26.12692,24.5624,22.47091,21.18917,0.747507
284,185.161570824,15.0563420975,3,24.84318,22.96466,22.20174,20.19024,3.025947
285,185.161987334,15.0840294664,6,26.06902,24.15301,22.21207,21.99137,0.5950651
286,185.161577266,15.0699100731,6,23.95463,23.02882,22.20127,21.41081,0.5923437
287,185.131366591,15.1669403648,3,24.68427,24.99238,22.7092,21.35833,0.7912743
288,185.094629521,15.144845057,3,21.88506,22.66958,21.53032,20.14986,2.136761
289,185.094494504,15.0600808072,6,26.19438,24.10676,23.6042,22.05647,0.7384906
290,185.020675517,15.1010329988,3,21.55449,24.32166,22.76661,21.28493,0.9582409
291,185.059117477,15.116801859,6,20.01737,19.21184,18.89052,18.81557,0.5959104
292,185.059118378,15.1168015898,6,20.01739,19.2095,18.88586,18.81114,0.6140649
293,185.059138815,15.1168092815,6,19.97846,19.20292,18.88118,18.80021,0.6461037
294,185.019942125,15.0157428998,6,24.62582,23.97426,23.06904,21.59772,2.227047
295,185.130702806,15.0684410598,3,22.78554,22.26074,21.84545,21.76502,1.864758
296,185.09527628,15.1287049194,3,23.00599,21.76373,21.10669,21.08527,1.000226
297,185.094675912,15.0955084646,6,25.74923,23.22406,24.19962,23.65224,0.9636032
298,185.094710846,15.1610771852,6,24.26696,21.79392,21.42845,21.54431,0.5990148
299,185.094202724,15.1026176572,6,24.55156,22.27739,22.26423,21.82231,0.9443817
300,185.094286056,15.0669291612,3,21.2254,20.40762,19.7862,19.59206,0.8647512
301,185.162358664,15.155453854,3,26.55628,21.37712,20.33252,20.87948,-9999.0
302,185.162428863,15.1287087312,6,24.07215,25.2326,22.89948,24.24785,-9999.0
303,185.16234964,15.1554526072,3,26.60103,23.49628,21.66002,21.04989,0.8296697
304,185.162538856,15.0130004584,6,24.68589,22.82119,24.86604,25.65816,-9999.0
305,185.161576959,15.0698821771,3,23.39209,23.0265,22.11818,22.00109,0.7254983
306,185.162290645,15.1955976124,6,22.36765,19.57678,18.31711,17.68681,0.7909047
307,185.162298012,15.195598777,6,22.24435,19.57842,18.31736,17.68187,0.7959636
308,185.162384625,15.1553973255,6,24.30098,23.54823,21.80258,21.93907,0.560501
309,185.09523128,15.1287036397,3,23.40429,21.94749,21.17729,21.29965,1.24693
310,185.094667084,15.16108422,6,22.40434,21.909,21.47388,21.63896,0.678263
311,185.094240085,15.0669303944,3,21.10564,20.38717,19.8334,19.54052,1.180992
312,185.02064262,15.1482127078,6,23.01403,22.68829,23.14873,22.56836,1.179232
313,185.094381753,15.022882711,6,21.39742,19.18125,18.02399,17.53057,0.636153
314,185.094400737,15.0228895125,6,21.28887,19.17317,18.02066,17.53112,0.633212
315,185.161405173,15.19989004,6,22.09392,24.9907,25.09333,23.42046,1.383784
316,185.131599668,15.1270881412,6,22.13874,25.61503,24.39384,25.84078,-9999.0
317,185.094972566,15.1344647215,3,23.23009,22.58492,21.40513,20.90937,0.9724131
318,185.058579564,15.1005056495,3,22.28765,22.78387,21.25082,21.03457,0.5355916
319,185.020476571,15.177868734,3,23.465,23.92076,20.726,19.33196,0.6356386
320,185.020059352,15.164288309,3,24.84921,22.50601,21.23631,21.03713,0.9300563
321,185.058523928,15.052194435,3,23.5627,23.5326,22.62228,22.63858,0.6788061
322,185.094423785,15.0228707563,6,22.01318,19.16219,18.02863,17.52049,0.7465572
323,185.094432863,15.02287164,6,21.84191,19.15651,18.02057,17.52027,0.7446095
324,185.162285057,15.1956142056,6,22.47056,19.63492,18.30302,17.68722,0.5941586
325,185.162303884,15.1956206602,6,22.4452,19.64684,18.30445,17.69873,0.5785879
326,185.161449348,15.1162123835,6,25.29335,23.67929,22.50614,23.73163,1.280235
327,185.161445315,15.1161759876,6,25.21064,23.0869,21.92787,23.11306,-9999.0
328,185.130706651,15.0684527078,3,22.76542,22.28512,21.83681,21.75206,1.576308
